position;title;book_url;author;author_url;rating;votes
19;Book Lovers;https://www.goodreads.com/book/show/58690308-book-lovers;Emily Henry;https://www.goodreads.com/author/show/13905555.Emily_Henry;4.1;1461771
20;Remarkably Bright Creatures;https://www.goodreads.com/book/show/58733693-remarkably-bright-creatures;Shelby Van Pelt;https://www.goodreads.com/author/show/21374195.Shelby_Van_Pelt;4.37;1070598
21;The Inheritance Games (The Inheritance Games, #1);https://www.goodreads.com/book/show/52439531-the-inheritance-games;Jennifer Lynn Barnes;https://www.goodreads.com/author/show/164187.Jennifer_Lynn_Barnes;4.13;1009721
22;The Four Winds;https://www.goodreads.com/book/show/53138081-the-four-winds;Kristin Hannah;https://www.goodreads.com/author/show/54493.Kristin_Hannah;4.3;908308
23;Under the Whispering Door;https://www.goodreads.com/book/show/53205888-under-the-whispering-door;T.J. Klune;https://www.goodreads.com/author/show/5073330.T_J_Klune;4.12;304943
24;Carrie Soto Is Back;https://www.goodreads.com/book/show/60435878-carrie-soto-is-back;Taylor Jenkins Reid;https://www.goodreads.com/author/show/6572605.Taylor_Jenkins_Reid;4.2;671768
25;Demon Copperhead;https://www.goodreads.com/book/show/60194162-demon-copperhead;Barbara Kingsolver;https://www.goodreads.com/author/show/3541.Barbara_Kingsolver;4.47;715211
26;Crying in H Mart;https://www.goodreads.com/book/show/54814676-crying-in-h-mart;Michelle Zauner;https://www.goodreads.com/author/show/18916582.Michelle_Zauner;4.24;559769
27;Divine Rivals (Letters of Enchantment, #1);https://www.goodreads.com/book/show/60784546-divine-rivals;Rebecca   Ross;https://www.goodreads.com/author/show/14926516.Rebecca_Ross;4.16;680472
28;Heartstopper: Volume Three (Heartstopper, #3);https://www.goodreads.com/book/show/43449920-heartstopper;Alice Oseman;https://www.goodreads.com/author/show/7789423.Alice_Oseman;4.55;488785
29;American Dirt;https://www.goodreads.com/book/show/45046527-american-dirt;Jeanine Cummins;https://www.goodreads.com/author/show/338667.Jeanine_Cummins;4.37;660097
30;The Thursday Murder Club (Thursday Murder Club, #1);https://www.goodreads.com/book/show/46000520-the-thursday-murder-club;Richard Osman;https://www.goodreads.com/author/show/6173710.Richard_Osman;3.87;680225
31;Mexican Gothic;https://www.goodreads.com/book/show/53152636-mexican-gothic;Silvia Moreno-Garcia;https://www.goodreads.com/author/show/4088550.Silvia_Moreno_Garcia;3.67;418245
32;Hamnet;https://www.goodreads.com/book/show/43890641-hamnet;Maggie O'Farrell;https://www.goodreads.com/author/show/91236.Maggie_O_Farrell;4.19;313136
33;Sea of Tranquility;https://www.goodreads.com/book/show/58446227-sea-of-tranquility;Emily St. John Mandel;https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel;4.06;283654
34;The Guest List;https://www.goodreads.com/book/show/52656911-the-guest-list;Lucy Foley;https://www.goodreads.com/author/show/7770523.Lucy_Foley;3.8;1222969
35;Klara and the Sun;https://www.goodreads.com/book/show/54120408-klara-and-the-sun;Kazuo Ishiguro;https://www.goodreads.com/author/show/4280.Kazuo_Ishiguro;3.74;411843
36;A Deadly Education (The Scholomance, #1);https://www.goodreads.com/book/show/50548197-a-deadly-education;Naomi Novik;https://www.goodreads.com/author/show/8730.Naomi_Novik;3.94;209317
37;House of Sky and Breath (Crescent City, #2);https://www.goodreads.com/book/show/40132775-house-of-sky-and-breath;Sarah J. Maas;https://www.goodreads.com/author/show/3433047.Sarah_J_Maas;4.43;736135
38;Iron Flame (The Empyrean, #2);https://www.goodreads.com/book/show/90202302-iron-flame;Rebecca Yarros;https://www.goodreads.com/author/show/7539785.Rebecca_Yarros;4.36;2326114
39;People We Meet on Vacation;https://www.goodreads.com/book/show/54985743-people-we-meet-on-vacation;Emily Henry;https://www.goodreads.com/author/show/13905555.Emily_Henry;3.85;1436633
40;Loveless;https://www.goodreads.com/book/show/42115981-loveless;Alice Oseman;https://www.goodreads.com/author/show/7789423.Alice_Oseman;4.18;117719
41;Legendborn (The Legendborn Cycle, #1);https://www.goodreads.com/book/show/50892338-legendborn;Tracy Deonn;https://www.goodreads.com/author/show/19593708.Tracy_Deonn;4.31;177218
42;Network Effect (The Murderbot Diaries, #5);https://www.goodreads.com/book/show/52381770-network-effect;Martha Wells;https://www.goodreads.com/author/show/87305.Martha_Wells;4.47;115425
43;Caste: The Origins of Our Discontents;https://www.goodreads.com/book/show/51152447-caste;Isabel Wilkerson;https://www.goodreads.com/author/show/3567958.Isabel_Wilkerson;4.53;156622
44;Heartstopper: Volume Four (Heartstopper, #4);https://www.goodreads.com/book/show/56060300-heartstopper;Alice Oseman;https://www.goodreads.com/author/show/7789423.Alice_Oseman;4.58;432598
45;Yellowface;https://www.goodreads.com/book/show/62047984-yellowface;R.F. Kuang;https://www.goodreads.com/author/show/16820001.R_F_Kuang;3.73;916332
46;From Blood and Ash (Blood and Ash, #1);https://www.goodreads.com/book/show/52831200-from-blood-and-ash;Jennifer L. Armentrout;https://www.goodreads.com/author/show/4476934.Jennifer_L_Armentrout;4.22;790738
47;Bell Hammers;https://www.goodreads.com/book/show/48731251-bell-hammers;Lancelot Schaubert;https://www.goodreads.com/author/show/19229425.Lancelot_Schaubert;4.12;716
48;A Psalm for the Wild-Built (Monk & Robot, #1);https://www.goodreads.com/book/show/40864002-a-psalm-for-the-wild-built;Becky Chambers;https://www.goodreads.com/author/show/17650479.Becky_Chambers;4.23;168742
49;One of Us Is Next (One of Us Is Lying, #2);https://www.goodreads.com/book/show/44654627-one-of-us-is-next;Karen M. McManus;https://www.goodreads.com/author/show/15127507.Karen_M_McManus;3.9;275282
50;Rhythm of War (The Stormlight Archive, #4);https://www.goodreads.com/book/show/49021976-rhythm-of-war;Brandon Sanderson;https://www.goodreads.com/author/show/38550.Brandon_Sanderson;4.59;217552
51;Good Girl, Bad Blood (A Good Girl's Guide to Murder, #2);https://www.goodreads.com/book/show/51335759-good-girl-bad-blood;Holly  Jackson;https://www.goodreads.com/author/show/18229614.Holly_Jackson;4.26;729491
52;Cloud Cuckoo Land;https://www.goodreads.com/book/show/56783258-cloud-cuckoo-land;Anthony Doerr;https://www.goodreads.com/author/show/28186.Anthony_Doerr;4.25;255803
53;The Burning God (The Poppy War, #3);https://www.goodreads.com/book/show/45857086-the-burning-god;R.F. Kuang;https://www.goodreads.com/author/show/16820001.R_F_Kuang;4.3;147643
54;Happy Place;https://www.goodreads.com/book/show/61718053-happy-place;Emily Henry;https://www.goodreads.com/author/show/13905555.Emily_Henry;3.95;1331652
55;Chain of Gold (The Last Hours, #1);https://www.goodreads.com/book/show/43175835-chain-of-gold;Cassandra Clare;https://www.goodreads.com/author/show/150038.Cassandra_Clare;4.37;117584
56;The Women;https://www.goodreads.com/book/show/127305853-the-women;Kristin Hannah;https://www.goodreads.com/author/show/54493.Kristin_Hannah;4.6;1354594
57;The Maid (Molly the Maid, #1);https://www.goodreads.com/book/show/55196813-the-maid;Nita Prose;https://www.goodreads.com/author/show/20650250.Nita_Prose;3.75;678488
58;The Glass Hotel;https://www.goodreads.com/book/show/45754981-the-glass-hotel;Emily St. John Mandel;https://www.goodreads.com/author/show/2786093.Emily_St_John_Mandel;3.69;191042
59;Greenlights;https://www.goodreads.com/book/show/52838315-greenlights;Matthew McConaughey;https://www.goodreads.com/author/show/3636965.Matthew_McConaughey;4.2;429098
60;The Anthropocene Reviewed: Essays on a Human-Centered Planet;https://www.goodreads.com/book/show/55145261-the-anthropocene-reviewed;John Green;https://www.goodreads.com/author/show/1406384.John_Green;4.36;162447
61;A Promised Land;https://www.goodreads.com/book/show/55359022-a-promised-land;Barack Obama;https://www.goodreads.com/author/show/6356.Barack_Obama;4.32;264579
62;Tress of the Emerald Sea;https://www.goodreads.com/book/show/60531406-tress-of-the-emerald-sea;Brandon Sanderson;https://www.goodreads.com/author/show/38550.Brandon_Sanderson;4.33;250808
63;The Rose Code;https://www.goodreads.com/book/show/53914938-the-rose-code;Kate Quinn;https://www.goodreads.com/author/show/2974095.Kate_Quinn;4.45;343568
64;Rule of Wolves (King of Scars, #2);https://www.goodreads.com/book/show/36307674-rule-of-wolves;Leigh Bardugo;https://www.goodreads.com/author/show/4575289.Leigh_Bardugo;4.34;171654
65;Firekeeper’s Daughter (Firekeeper's Daughter, #1);https://www.goodreads.com/book/show/52346471-firekeeper-s-daughter;Angeline Boulley;https://www.goodreads.com/author/show/19633027.Angeline_Boulley;4.31;189901
66;Shuggie Bain;https://www.goodreads.com/book/show/52741293-shuggie-bain;Douglas   Stuart;https://www.goodreads.com/author/show/19629033.Douglas_Stuart;4.3;182149
