position,name,genre,url,description,ratingValue,ratingCount,bestRating,worstRating
53,The Sticky,"Comedy, Crime",https://www.imdb.com/title/tt19636984/,"When maple syrup farmer Ruth Landry finds her livelihood under attack by greedy competitors who were once her friends, she concocts a scheme to exact revenge and shake up the industry.",7.0,3122,10,1
54,1883,"Drama, Western",https://www.imdb.com/title/tt13991232/,"The post-Civil war generation of the Dutton family travels to Texas, and joins a wagon train undertaking the arduous journey west to Oregon, before settling in Montana to establish what would eventually become the Yellowstone Ranch.",8.7,127729,10,1
55,Prison Break,"Action, Crime, Drama",https://www.imdb.com/title/tt0455275/,"A structural engineer installs himself in a prison he helped design, in order to save his falsely accused brother from a death sentence by breaking themselves out from the inside.",8.3,609209,10,1
56,Shingeki no Kyojin,"Animation, Action, Adventure",https://www.imdb.com/title/tt2560140/,"After his hometown is destroyed, young Eren Jaeger vows to cleanse the earth of the giant humanoid Titans that have brought humanity to the brink of extinction.",9.1,572648,10,1
57,Cobra Kai,"Action, Comedy, Drama",https://www.imdb.com/title/tt7221388/,"Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",8.4,218135,10,1
58,Fallout,"Action, Adventure, Drama",https://www.imdb.com/title/tt12637874/,"In a future, post-apocalyptic Los Angeles brought about by nuclear decimation, citizens must live in underground bunkers to protect themselves from radiation, mutants and bandits.",8.3,281353,10,1
59,Laid,Comedy,https://www.imdb.com/title/tt21114548/,"Men in love are dying in unusual ways for the same woman, who must come to terms with her complicated past.",6.6,949,10,1
60,Better Call Saul,"Crime, Drama",https://www.imdb.com/title/tt3032476/,The trials and tribulations of criminal lawyer Jimmy McGill in the years leading up to and past his fateful run-in with Walter White and Jesse Pinkman.,9.0,699273,10,1
61,Criminal Minds,"Crime, Drama, Mystery",https://www.imdb.com/title/tt0452046/,A group of criminal profilers who work for the FBI as members of its Behavioral Analysis Unit (BAU) using behavioral analysis and profiling to help investigate crimes and find the suspect known as the unsub.,8.1,226802,10,1
62,Tulsa King,"Crime, Drama",https://www.imdb.com/title/tt16358384/,"After being released from prison after 25 years, New York Mafia capo Dwight &quot;The General&quot; Manfredi is exiled to Tulsa, Oklahoma.",8.0,90765,10,1
63,Ted Lasso,"Comedy, Drama, Sport",https://www.imdb.com/title/tt10986410/,"American college football coach Ted Lasso heads to London to manage AFC Richmond, a struggling English Premier League soccer team.",8.8,379271,10,1
64,Friends,"Comedy, Romance",https://www.imdb.com/title/tt0108778/,Follows the personal and professional lives of six twenty to thirty year-old friends living in the Manhattan borough of New York City.,8.9,1123350,10,1
65,Suits,"Comedy, Drama",https://www.imdb.com/title/tt1632701/,"On the run from a drug deal gone bad, brilliant college dropout Mike Ross finds himself working with Harvey Specter, one of New York City&apos;s best lawyers.",8.4,502438,10,1
66,Say Nothing,"Drama, History, Thriller",https://www.imdb.com/title/tt31122777/,Spanning four tumultuous decades during The Troubles in Northern Ireland.,8.3,6076,10,1
67,Reacher,"Action, Crime, Drama",https://www.imdb.com/title/tt9288030/,Itinerant former military policeman Jack Reacher solves crimes and metes out his own brand of street justice. Based on the novels by Lee Child.,8.0,232187,10,1
68,Black Mirror,"Crime, Drama, Mystery",https://www.imdb.com/title/tt2085059/,"Featuring stand-alone dramas -- sharp, suspenseful, satirical tales that explore techno-paranoia -- &quot;Black Mirror&quot; is a contemporary reworking of &quot;The Twilight Zone&quot; with stories that tap into the collective unease about the moder...",8.7,665472,10,1
69,Earth Abides,"Drama, Sci-Fi",https://www.imdb.com/title/tt26443935/,"After months of isolation, Isherwood &quot;Ish&quot; Williams, learns that most of the world has fallen to a mysterious illness. Yet, despite his instincts to further isolate, Ish leads the charge to develop a new civilization.",6.0,2319,10,1
70,The Big Bang Theory,"Comedy, Romance",https://www.imdb.com/title/tt0898266/,"Aspiring film actress Penny moves into a Pasadena apartment across the hall from brilliant, but socially awkward, physicists Sheldon Cooper and Leonard Hofstadter and shows them how little they know about life outside of the lab.",8.1,893374,10,1
71,Elsbeth,"Comedy, Crime, Drama",https://www.imdb.com/title/tt26591110/,Astute but unconventional attorney Elsbeth Tascioni utilizes her singular point of view to make unique observations and corner brilliant criminals alongside the NYPD.,7.6,10519,10,1
72,Beast Games,Reality-TV,https://www.imdb.com/title/tt31812476/,"A reality-competition show, in which over 1,000 contestants play for a single $5 million cash payout.",5.6,4610,10,1
73,The Boys,"Action, Comedy, Crime",https://www.imdb.com/title/tt1190634/,A group of vigilantes set out to take down corrupt superheroes who abuse their superpowers.,8.7,744680,10,1
74,Wolf Hall,"Biography, Drama, History",https://www.imdb.com/title/tt3556920/,"After the downfall of Cardinal Wolsey, his secretary, Thomas Cromwell, finds himself amongst the treachery and intrigue of King Henry VIII&apos;s court and soon becomes a close advisor to the King, a role fraught with danger.",8.1,14924,10,1
75,The Diplomat,"Drama, Thriller",https://www.imdb.com/title/tt17491088/,"In the midst of an international crisis, Kate Wyler, a career diplomat, lands in a high-profile job for which she is not suited, with tectonic implications for her marriage and her political future.",8.0,74129,10,1
76,The Last of Us,"Action, Adventure, Drama",https://www.imdb.com/title/tt3581920/,"After a global pandemic destroys civilization, a hardened survivor takes charge of a 14-year-old girl who may be humanity&apos;s last hope.",8.7,589349,10,1
77,Peaky Blinders,"Crime, Drama",https://www.imdb.com/title/tt2442560/,"A gangster family epic set in 1900s England, centering on a gang who sew razor blades in the peaks of their caps, and their fierce boss Tommy Shelby.",8.7,688919,10,1
78,Ghosts,"Comedy, Fantasy",https://www.imdb.com/title/tt11379026/,"A young couple, Sam and Jay, inherit a haunted mansion and, unaware of their invisible housemates, plan to turn it into a B&amp;B. Their lives become much more complicated after a fall causes Sam to see the ghosts. Based on the UK ser...",7.9,33902,10,1
79,Holiday Touchdown: A Chiefs Love Story,"Comedy, Family, Romance",https://www.imdb.com/title/tt32752472/,"Alana Higman, a die-hard Kansas City Chiefs fan and her family are competing to win the team&apos;s Fan of the Year contest, in a process judged by the director of fan engagement Derrick.",6.3,1994,10,1
80,House of the Dragon,"Action, Adventure, Drama",https://www.imdb.com/title/tt11198330/,"An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen.",8.3,458791,10,1
81,The Witcher,"Action, Adventure, Drama",https://www.imdb.com/title/tt5180504/,"Geralt of Rivia, a solitary monster hunter, struggles to find his place in a world where people often prove more wicked than beasts.",8.0,586883,10,1
82,The Simpsons,"Animation, Comedy",https://www.imdb.com/title/tt0096697/,The satiric half-hour adventures of a working-class family in the misfit city of Springfield.,8.7,447236,10,1
